full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code-security-review,5898,5898,642,5,5,0,https://github.com/anthropics/claude-code-security-review
zebbern/claude-code-guide,4578,4578,458,0,0,0,https://github.com/zebbern/claude-code-guide
rohitg00/awesome-claude-code-toolkit,2525,2525,899,0,0,1,https://github.com/rohitg00/awesome-claude-code-toolkit
1rgs/claude-code-proxy,3729,3729,490,0,0,0,https://github.com/1rgs/claude-code-proxy
zstmfhy/Claude-code,190,190,284,0,0,0,https://github.com/zstmfhy/Claude-code
lorryjovens-hub/claude-code-rust,1667,1667,641,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
Windy3f3f3f3f/how-claude-code-works,3464,3464,689,0,0,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
alejandrobalderas/claude-code-from-source,2755,2755,750,1,1,0,https://github.com/alejandrobalderas/claude-code-from-source
Maciek-roboblog/Claude-Code-Usage-Monitor,8637,8637,456,1,1,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
disler/claude-code-hooks-mastery,3889,3889,637,0,0,0,https://github.com/disler/claude-code-hooks-mastery
777genius/claude-code-source-code,926,926,1090,0,0,0,https://github.com/777genius/claude-code-source-code
ding113/claude-code-hub,3324,3324,386,0,0,0,https://github.com/ding113/claude-code-hub
fuergaosi233/claude-code-proxy,2768,2768,411,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2757,2757,412,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
fazxes/Claude-code,231,231,218,0,0,0,https://github.com/fazxes/Claude-code
Yuyz0112/claude-code-reverse,2427,2427,413,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
kodu-ai/claude-coder,5236,5236,199,0,0,0,https://github.com/kodu-ai/claude-coder
SeemSeam/claude_codex_bridge,3427,3427,337,0,0,0,https://github.com/SeemSeam/claude_codex_bridge
Windy3f3f3f3f/claude-code-from-scratch,2578,2578,526,0,0,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
Cranot/claude-code-guide,2865,2865,318,0,0,0,https://github.com/Cranot/claude-code-guide
Chachamaru127/claude-code-harness,3061,3061,302,0,0,0,https://github.com/Chachamaru127/claude-code-harness
luyao618/Claude-Code-Source-Study,1669,1669,568,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
asgeirtj/system_prompts_leaks,63099,63099,10358,6,6,1,https://github.com/asgeirtj/system_prompts_leaks
multica-ai/andrej-karpathy-skills,203479,203479,20868,35,35,2,https://github.com/multica-ai/andrej-karpathy-skills
https-deeplearning-ai/sc-claude-code-files,541,541,829,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
repowise-dev/claude-code-prompts,1188,1188,392,1,1,0,https://github.com/repowise-dev/claude-code-prompts
affaan-m/ECC,240808,240808,36526,33,33,3,https://github.com/affaan-m/ECC
anthropics/claude-code-base-action,949,949,611,0,0,0,https://github.com/anthropics/claude-code-base-action
AprilNEA/claude-code-source,390,390,609,0,0,0,https://github.com/AprilNEA/claude-code-source
jqueryscript/awesome-claude-code,500,500,528,0,0,0,https://github.com/jqueryscript/awesome-claude-code
huangjia2019/claude-code-engineering,1072,1072,378,0,0,0,https://github.com/huangjia2019/claude-code-engineering
guanshan/ClaudeCode,61,61,211,0,0,0,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,374,374,547,1,1,0,https://github.com/JrCx7scC/claude-code-source
Pimzino/claude-code-spec-workflow,3847,3847,276,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
anthropics/skills,170148,170148,20248,56,56,4,https://github.com/anthropics/skills
krusemediallc/arcads-claude-code,1191,1191,306,1,1,0,https://github.com/krusemediallc/arcads-claude-code
edmund-io/edmunds-claude-code,1498,1498,284,0,0,-1,https://github.com/edmund-io/edmunds-claude-code
Yeachan-Heo/oh-my-claudecode,38627,38627,3471,5,5,1,https://github.com/Yeachan-Heo/oh-my-claudecode
disler/pi-vs-claude-code,1609,1609,372,0,0,0,https://github.com/disler/pi-vs-claude-code
VILA-Lab/Dive-into-Claude-Code,2062,2062,317,1,1,0,https://github.com/VILA-Lab/Dive-into-Claude-Code
digitalsamba/claude-code-video-toolkit,1951,1951,327,0,0,0,https://github.com/digitalsamba/claude-code-video-toolkit
feiskyer/claude-code-settings,1631,1631,245,-1,-1,0,https://github.com/feiskyer/claude-code-settings
OrcaWhisper/Claude-Code,91,91,173,0,0,-1,https://github.com/OrcaWhisper/Claude-Code
jeremylongshore/claude-code-plugins-plus-skills,2650,2650,390,0,0,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
xu-xiang/everything-claude-code-zh,1879,1879,307,2,2,0,https://github.com/xu-xiang/everything-claude-code-zh
AICoderTudou/claude-code-tudou,496,496,394,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
andrew-kramer-inno/claude-code-source-build,594,594,512,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
darcyegb/ClaudeCodeAgents,761,761,70,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
KPR111/Claude-Code,18,18,324,0,0,0,https://github.com/KPR111/Claude-Code
centminmod/my-claude-code-setup,2587,2587,246,0,0,0,https://github.com/centminmod/my-claude-code-setup
WorldFlowAI/everything-claude-code,1346,1346,237,2,2,0,https://github.com/WorldFlowAI/everything-claude-code
ccplugins/awesome-claude-code-plugins,917,917,378,1,1,0,https://github.com/ccplugins/awesome-claude-code-plugins
Njengah/claude-code-cheat-sheet,1906,1906,260,0,0,0,https://github.com/Njengah/claude-code-cheat-sheet
luongnv89/claude-howto,41088,41088,5022,41088,41088,5022,https://github.com/luongnv89/claude-howto
